COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,COUNTRY,COUNTRY_CODE,STATE_PROVINCE,SUBNATIONAL1_CODE,COUNTY,SUBNATIONAL2_CODE,BCR CODE,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED
Black Swift,Cypseloides niger,2,United States,US,Washington,US-WA,King,US-WA-033,5,L162766,H,47.65424,-122.29137,6/10/10,8:50:00,obsr175075,S6525725,110,,29.9467,1,1
Black Swift,Cypseloides niger,12,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/10/10,5:30:00,obsr124466,S6525311,210,4.828,,12,1
Black Swift,Cypseloides niger,20,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/17/10,7:30:00,obsr205538,S6550906,180,3.219,,8,1
Black Swift,Cypseloides niger,2,United States,US,Washington,US-WA,King,US-WA-033,5,L162766,H,47.65424,-122.29137,6/19/10,7:45:00,obsr169860,S6558592,90,1.609,,1,1
Black Swift,Cypseloides niger,5,United States,US,Washington,US-WA,King,US-WA-033,5,L264655,H,47.42175,-122.25821,6/16/10,16:00:00,obsr210144,S6549201,20,,,,1
Black Swift,Cypseloides niger,8,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/17/10,5:30:00,obsr146271,S6552083,300,,72.8434,8,1
Black Swift,Cypseloides niger,X,United States,US,Washington,US-WA,King,US-WA-033,5,L321279,H,47.6545148,-122.1077304,6/17/10,5:30:00,obsr195629,S6551297,330,,161.8743,8,1
Black Swift,Cypseloides niger,10,United States,US,Washington,US-WA,King,US-WA-033,5,L321969,H,47.5597558,-122.0549817,6/16/10,8:00:00,obsr195629,S6560606,240,,129.4994,5,1
Black Swift,Cypseloides niger,10,United States,US,Washington,US-WA,King,US-WA-033,5,L321969,H,47.5597558,-122.0549817,6/16/10,8:00:00,obsr223235,S6564678,240,,129.4994,5,1
Black Swift,Cypseloides niger,10,United States,US,Washington,US-WA,King,US-WA-033,5,L321969,H,47.5597558,-122.0549817,6/16/10,8:00:00,obsr196219,S6576136,240,,129.4994,5,1
