COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,OBSERVATION COUNT,COUNTRY,COUNTRY_CODE,STATE_PROVINCE,SUBNATIONAL1_CODE,COUNTY,SUBNATIONAL2_CODE,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,DURATION MINUTES,EFFORT DISTANCE KM,NUMBER OBSERVERS,ALL SPECIES REPORTED,
Harlequin Duck,Histrionicus histrionicus,,1,United States,US,Washington,US-WA,King,US-WA-033,L4052359,P,47.631286,-122.395435,12/6/15,10:47:00,obsr124466,S26162500,40,,3,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L318691,H,47.5302762,-122.3955921,1/5/16,11:00:00,obsr598511,S26767196,60,1.609,1,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L2317747,P,47.38851,-122.37361,1/25/16,13:40:00,obsr97255,S27128670,44,0.805,2,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L186859,H,47.40234,-122.33128,1/8/16,15:15:00,obsr422009,S26782241,65,0.322,1,1,
Harlequin Duck,Histrionicus histrionicus,,1,United States,US,Washington,US-WA,King,US-WA-033,L186859,H,47.40234,-122.33128,1/8/16,8:07:00,obsr195629,S26773406,90,3.219,2,1,G1730407
Harlequin Duck,Histrionicus histrionicus,,5,United States,US,Washington,US-WA,King,US-WA-033,L1284994,H,47.563362,-122.4064708,1/17/16,14:39:00,obsr678811,S26962204,20,,3,1,
Harlequin Duck,Histrionicus histrionicus,,5,United States,US,Washington,US-WA,King,US-WA-033,L1284994,H,47.563362,-122.4064708,1/17/16,14:43:00,obsr627468,S26962201,20,,3,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L1284994,H,47.563362,-122.4064708,1/9/16,13:59:00,obsr662371,S26967213,,,1,0,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L207315,H,47.5841938,-122.4005256,1/17/16,12:10:00,obsr231565,S26959291,20,1.207,2,1,G1612249
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L331426,H,47.3733968,-122.3236098,1/26/16,9:50:00,obsr532368,S27142248,45,0.322,2,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L1284994,H,47.563362,-122.4064708,1/1/16,10:29:00,obsr30851,S26580822,20,,1,1,
Harlequin Duck,Histrionicus histrionicus,,10,United States,US,Washington,US-WA,King,US-WA-033,L318691,H,47.5302762,-122.3955921,1/1/16,13:39:00,obsr409383,S26589948,66,3.219,2,1,
Harlequin Duck,Histrionicus histrionicus,,5,United States,US,Washington,US-WA,King,US-WA-033,L2439784,P,47.5726317,-122.4141097,1/1/16,9:45:00,obsr30851,S26580030,39,0.322,1,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L186859,H,47.40234,-122.33128,1/9/16,11:07:00,obsr504941,S26796765,41,0.161,1,1,
Harlequin Duck,Histrionicus histrionicus,,7,United States,US,Washington,US-WA,King,US-WA-033,L186859,H,47.40234,-122.33128,1/9/16,12:34:00,obsr424498,S26799512,51,0.966,1,1,
Harlequin Duck,Histrionicus histrionicus,,6,United States,US,Washington,US-WA,King,US-WA-033,L1284994,H,47.563362,-122.4064708,1/27/16,10:35:00,obsr567171,S27173130,20,1.609,2,1,G1574297
Harlequin Duck,Histrionicus histrionicus,,6,United States,US,Washington,US-WA,King,US-WA-033,L1284994,H,47.563362,-122.4064708,1/27/16,10:35:00,obsr287974,S27166758,20,1.609,2,1,G1574297
Harlequin Duck,Histrionicus histrionicus,,4,United States,US,Washington,US-WA,King,US-WA-033,L2608551,H,47.5726544,-122.4140185,1/1/16,14:30:00,obsr343592,S26602395,60,0.402,1,1,
