COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,COUNTRY,COUNTRY_CODE,STATE_PROVINCE,SUBNATIONAL1_CODE,COUNTY,SUBNATIONAL2_CODE,BCR CODE,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1069591,H,47.2837998,-122.1314049,6/6/15,9:08:00,obsr405685,30,0.805,,10,0
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L416332,H,47.4190282,-122.2763085,6/2/15,15:25:00,obsr210144,,,,1,0
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L269461,H,47.6815336,-122.2505453,6/4/15,4:13:00,obsr124466,314,6.437,,1,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L2765904,H,47.6072625,-121.931076,7/3/15,12:35:00,obsr465142,,,,1,0
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/16/15,4:30:00,obsr22459,330,,161.8743,13,1
Lazuli Bunting,Passerina amoena,X,United States,US,Washington,US-WA,King,US-WA-033,5,L735303,H,47.523852,-121.7963326,7/22/15,9:15:00,obsr223235,87,2.414,,1,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/2/15,3:53:00,obsr22459,421,8.047,,7,1
Lazuli Bunting,Passerina amoena,3,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/9/15,3:45:00,obsr195629,427,8.047,,6,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L735303,H,47.523852,-121.7963326,7/23/15,5:45:00,obsr477191,180,2.414,,1,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/16/15,4:30:00,obsr146271,330,,161.8743,13,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/23/15,5:30:00,obsr97255,287,8.449,,13,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/11/15,9:00:00,obsr424048,150,2.897,,2,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/16/15,4:30:00,obsr195629,330,,161.8743,13,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/2/15,3:53:00,obsr146271,421,8.047,,7,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/2/15,5:30:00,obsr97255,324,8.047,,7,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/2/15,3:53:00,obsr195629,421,8.047,,7,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/2/15,3:53:00,obsr425319,421,8.047,,7,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/23/15,4:00:00,obsr22459,375,,161.8743,13,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/23/15,4:00:00,obsr146271,375,,161.8743,13,1
Lazuli Bunting,Passerina amoena,3,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/9/15,5:31:00,obsr97255,427,8.047,,6,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/23/15,4:00:00,obsr425319,375,,161.8743,13,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/2/15,3:53:00,obsr211837,421,8.047,,7,1
Lazuli Bunting,Passerina amoena,3,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/9/15,3:45:00,obsr425319,427,8.047,,6,1
